_id,lat,lon,address
,42.98265118975711,-83.7542938905025,"4051 Miller Road, Flint, Michigan 48507, United States"
,42.98265118975711,-83.7542938905025,"4051 Miller Road, Flint, Michigan 48507, United States"
,42.98265118975711,-83.7542938905025,"4051 Miller Road, Flint, Michigan 48507, United States"
,42.98265118975711,-83.7542938905025,"4051 Miller Road, Flint, Michigan 48507, United States"
,42.98265118975711,-83.7542938905025,"4051 Miller Road, Flint, Michigan 48507, United States"
,42.98265118975711,-83.7542938905025,"4051 Miller Road, Flint, Michigan 48507, United States"
,42.9827751995053,-83.7539728274509,"4051 Miller Road, Flint, Michigan 48507, United States"
,42.9827751995053,-83.7539728274509,"4051 Miller Road, Flint, Michigan 48507, United States"
,42.9827751995053,-83.7539728274509,"4051 Miller Road, Flint, Michigan 48507, United States"
,42.98294914609362,-83.75352119310048,"4029 Miller Road, Flint, Michigan 48507, United States"
,42.98294914609362,-83.75352119310048,"4029 Miller Road, Flint, Michigan 48507, United States"
,42.98308203603506,-83.7531834191291,"4021 Miller Road, Flint, Michigan 48507, United States"
,42.98320960322277,-83.75286669706163,"4021 Miller Road, Flint, Michigan 48507, United States"
,42.983471242335945,-83.75226126592675,"3699 Miller Road, Flint, Michigan 48503, United States"
,42.983471242335945,-83.75226126592675,"3699 Miller Road, Flint, Michigan 48503, United States"
,42.983471242335945,-83.75226126592675,"3699 Miller Road, Flint, Michigan 48503, United States"
,42.98409447520522,-83.75093610300588,"3570 Miller Road, Flint, Michigan 48503, United States"
,42.984605869830474,-83.74981620924089,"3558 Miller Road, Flint, Michigan 48503, United States"
,42.98477271055328,-83.74944469559874,"3558 Miller Road, Flint, Michigan 48503, United States"
,42.9849316695206,-83.74908898614952,"3526 Miller Road, Flint, Michigan 48503, United States"
,42.9849316695206,-83.74908898614952,"3526 Miller Road, Flint, Michigan 48503, United States"
,42.985226108247126,-83.74843164974331,"3489 Miller Road, Flint, Michigan 48503, United States"
,42.985226108247126,-83.74843164974331,"3489 Miller Road, Flint, Michigan 48503, United States"
,42.985226108247126,-83.74843164974331,"3489 Miller Road, Flint, Michigan 48503, United States"
,42.985226108247126,-83.74843164974331,"3489 Miller Road, Flint, Michigan 48503, United States"
,42.985226108247126,-83.74843164974331,"3489 Miller Road, Flint, Michigan 48503, United States"
,42.98543806611054,-83.74795815571356,"3459 Miller Road, Flint, Michigan 48503, United States"
,42.98543806611054,-83.74795815571356,"3459 Miller Road, Flint, Michigan 48503, United States"
,42.98557203287613,-83.74765173044608,"3459 Miller Road, Flint, Michigan 48503, United States"
,42.98568669213138,-83.74738975305978,"3449 Miller Road, Flint, Michigan 48503, United States"
,42.98568669213138,-83.74738975305978,"3449 Miller Road, Flint, Michigan 48503, United States"
,42.98590729227309,-83.746889297678,"3449 Miller Road, Flint, Michigan 48503, United States"
,42.98590729227309,-83.746889297678,"3449 Miller Road, Flint, Michigan 48503, United States"
,42.986047483504876,-83.74656817975928,"3423 Miller Road, Flint, Michigan 48503, United States"
